测站点,观测方向,测回数,半测回标志,方位角,竖直角,距离,测站高,棱镜高, 
5,1,1,L,999999,0.01342303638887965,14.994006,1.456,1.452,,1.5708129316634745,0.013430641903502058,14.994246187499996,
5,1,1,L,999999,0.01343273266250189,14.994206,1.456,1.452,,
5,1,1,R,999999,0.013355162473524198,14.994306,1.456,1.452,,
5,1,1,R,999999,0.013423036388878984,14.994106,1.456,1.452,,
5,1,2,L,6.283176095719645,0.013446307445572852,14.994406,1.456,1.452,,
5,1,2,L,9.211459941081183e-06,0.013447761886616233,14.994319,1.456,1.452,,
5,1,2,R,1.2120342027799318e-05,0.013413340115257633,14.994019,1.456,1.452,,
5,1,2,R,5.429913228427452e-05,0.013454064464470509,14.994219,1.456,1.452,,
5,1,3,L,999999,0.013426430084647398,14.994619,1.456,1.452,,
5,1,3,L,999999,0.013459882228644027,14.994019,1.456,1.452,,
5,1,3,R,999999,0.013430793407777315,14.994219,1.456,1.452,,
5,1,3,R,999999,0.01343952005403804,14.994319,1.456,1.452,,
5,1,4,L,999999,0.013451155582383972,14.994219,1.456,1.452,,
5,1,4,L,999999,0.01343079340777753,14.994219,1.456,1.452,,
5,1,4,R,999999,0.013450670768703432,14.994319,1.456,1.452,,
5,1,4,R,999999,0.013405583096359308,14.994419,1.456,1.452,,
5,2,1,L,0.9552346984679732,-0.037513428203212795,28.354278,1.456,1.522,,0.955252151760493,-0.03753251774190636,28.354406125,
5,2,1,R,0.9552613632204343,-0.037536699259906214,28.354178,1.456,1.522,,
5,2,2,L,0.9552642721025209,-0.03751439783057475,28.354678,1.456,1.522,,
5,2,2,R,0.9552642721025206,-0.03754978922929553,28.354103,1.456,1.522,,
5,2,3,L,0.9552540910152176,-0.03751439783057475,28.354503,1.456,1.522,,
5,2,3,R,0.9552511821331304,-0.037546395533527566,28.354603,1.456,1.522,,
5,2,4,L,0.9552453643689576,-0.03752457891787819,28.354203,1.456,1.522,,
5,2,4,R,0.9552419706731898,-0.03756045513028107,28.354703,1.456,1.522,,
5,3,1,L,1.9243549455766047,-0.022314519300428826,35.571525,1.456,1.595,,1.9243492490158514,-0.02232609422706519,35.5714575,
5,3,1,R,1.9243583392723718,-0.022329063710862407,35.571425,1.456,1.595,,
5,3,2,L,1.9243602785270968,-0.022295611566865325,35.571725,1.456,1.595,,
5,3,2,R,1.9243534911355615,-0.02233100296558633,35.571657,1.456,1.595,,
5,3,3,L,1.9243704596144,-0.022362515854858378,35.571357,1.456,1.595,,
5,3,3,R,1.9243597937134158,-0.022318882623558522,35.571257,1.456,1.595,,
5,3,4,L,1.9243345834019978,-0.022327609269818582,35.571357,1.456,1.595,,
5,3,4,R,1.924302100885364,-0.022329548524543164,35.571357,1.456,1.595,,
5,4,1,L,2.1769152390548494,-0.0435333596815497,16.906345,1.456,1.498,,2.1769277230071378,-0.04355341884760544,16.90621875,
5,4,1,R,2.1769525697082948,-0.04359590064641239,16.906445,1.456,1.498,,
5,4,2,L,2.176952084894614,-0.043564872570821755,16.90606,1.456,1.498,,
5,4,2,R,2.1769399645525853,-0.043542086327809315,16.90616,1.456,1.498,,
5,4,3,L,2.176918147936936,-0.04354693446462066,16.90596,1.456,1.498,,
5,4,3,R,2.1769307530926447,-0.04355469148351787,16.90636,1.456,1.498,,
5,4,4,L,2.176887119861345,-0.04354208632780976,16.90626,1.456,1.498,,
5,4,4,R,2.1769259049558336,-0.04354741927830208,16.90616,1.456,1.498,,
1,2,1,L,999999,-0.05514707141252885,23.208215,1.474,1.522,,6.282399666609349,-0.05515418201318515,23.208185,
1,2,1,L,999999,-0.05517858430180089,23.208115,1.474,1.522,,
1,2,1,R,999999,-0.055160646195600016,23.208315,1.474,1.522,,
1,2,1,R,999999,-0.05520961237739197,23.208015,1.474,1.522,,
1,2,2,L,999999,-0.055145132157804484,23.208215,1.474,1.522,,
1,2,2,L,999999,-0.05513301181577668,23.208115,1.474,1.522,,
1,2,2,R,999999,-0.05515919175455686,23.208315,1.474,1.522,,
1,2,2,R,999999,-0.0551325270020957,23.208015,1.474,1.522,,
1,2,3,L,6.282222467208904,-0.055136890325225396,23.208215,1.474,1.522,,
1,2,3,L,6.282457117030559,-0.055148041039891016,23.208215,1.474,1.522,,
1,2,3,R,6.28244790557062,-0.055153373990383336,23.207715,1.474,1.522,,
1,2,3,R,6.282444511874851,-0.055146101785166664,23.208115,1.474,1.522,,
1,2,4,L,6.282456147403198,999999,23.208615,1.474,1.522,,
1,2,4,L,6.282423664886563,999999,23.208415,1.474,1.522,,
1,2,4,R,6.282275796713824,999999,23.208115,1.474,1.522,,
1,2,4,R,6.282469722186268,999999,23.208235,1.474,1.522,,
1,3,1,L,999999,-0.02342328818912609,43.128456,1.474,1.595,,0.7440149523916196,-0.023433226869588958,43.12842325,
1,3,1,R,999999,-0.023484374712945844,43.128556,1.474,1.595,,
1,3,2,L,999999,-0.023440741481645988,43.128456,1.474,1.595,,
1,3,2,R,999999,-0.023496010241292886,43.128156,1.474,1.595,,
1,3,3,L,0.7439829546886662,-0.023384987908318333,43.128756,1.474,1.595,,
1,3,3,R,0.7439911965212453,-0.02345334663735521,43.128156,1.474,1.595,,
1,3,4,L,0.7440328904978205,-0.023394684181940573,43.128556,1.474,1.595,,
1,3,4,R,0.7440527678587463,-0.02338838160408674,43.128294,1.474,1.595,,
1,4,1,L,999999,-0.03364025170482865,28.280227,1.474,1.498,,1.1154383493051125,-0.033631888668829435,28.280292625,
1,4,1,R,999999,-0.03361504139341065,28.280127,1.474,1.498,,
