测站点,观测方向,测回数,半测回标志,水平方向,,,垂直方向,,,距离,棱镜高,测站高,,
5,1,1,L,0,0,1.3,89,13,51.300000000021555,14.994006,1.452,1.456 
,,,L,359,59,57.19999999997526,89,13,49.29999999998927,14.994206,1.452,1.456 
,,,R,180,0,6.299999999953343,270,45,54.69999999995707,14.994306,1.452,1.456 
,,,R,180,0,4.300000000023374,270,46,8.699999999876127,14.994106,1.452,1.456 
,,2,L,359,59,58.09999999995398,89,13,46.50000000001569,14.994406,1.452,1.456 
,,,L,0,0,1.8999999999999997,89,13,46.20000000000573,14.994319,1.452,1.456 
,,,R,180,0,2.49999999996362,270,46,6.699999999946158,14.994019,1.452,1.456 
,,,R,180,0,11.199999999996635,270,46,15.100000000020373,14.994219,1.452,1.456 
,,3,L,0,0,6.2,89,13,50.60000000001537,14.994619,1.452,1.456 
,,,L,359,59,57.19999999997526,89,13,43.69999999999095,14.994019,1.452,1.456 
,,,R,180,0,2.599999999949887,270,46,10.29999999986103,14.994219,1.452,1.456 
,,,R,180,0,6.199999999967076,270,46,12.100000000023101,14.994319,1.452,1.456 
,,4,L,359,59,59.4000000000824,89,13,45.499999999999545,14.994219,1.452,1.456 
,,,L,359,59,57.600000000124965,89,13,49.699999999985494,14.994219,1.452,1.456 
,,,R,180,0,0.2999999999587999,270,46,14.400000000014188,14.994319,1.452,1.456 
,,,R,180,0,3.2999999999560714,270,46,5.0999999999612555,14.994419,1.452,1.456 
,2,1,L,54,43,51.299999999995975,92,8,57.70000000002938,28.354278,1.522,1.456 
,,,R,234,43,56.79999999998245,267,50,57.4999999999136,28.354178,1.522,1.456 
,,2,L,54,43,57.400000000002365,92,8,57.90000000000191,28.354678,1.522,1.456 
,,,R,234,43,57.400000000002365,267,50,54.799999999977445,28.354103,1.522,1.456 
,,3,L,54,43,55.30000000000939,92,8,57.90000000000191,28.354503,1.522,1.456 
,,,R,234,43,54.699999999861575,267,50,55.500000000188265,28.354603,1.522,1.456 
,,4,L,54,43,53.500000000000796,92,9,2.0463630789890885e-11,28.354203,1.522,1.456 
,,,R,234,43,52.80000000002019,267,50,52.599999999870306,28.354703,1.522,1.456 
,3,1,L,110,15,26.700000000016644,91,16,42.70000000006689,35.571525,1.595,1.456 
,,,R,290,15,27.39999999992051,268,43,14.299999999884676,35.571425,1.595,1.456 
,,2,L,110,15,27.800000000019054,91,16,38.799999999988586,35.571725,1.595,1.456 
,,,R,290,15,26.400000000057844,268,43,13.89999999993961,35.571657,1.595,1.456 
,,3,L,110,15,29.89999999998645,91,16,52.59999999998627,35.571357,1.595,1.456 
,,,R,290,15,27.699999999981628,268,43,16.400000000107866,35.571257,1.595,1.456 
,,4,L,110,15,22.499999999979536,91,16,45.40000000000305,35.571357,1.595,1.456 
,,,R,290,15,15.800000000081127,268,43,14.200000000000728,35.571357,1.595,1.456 
,4,1,L,124,43,40.99999999995248,92,29,39.400000000015325,16.906345,1.498,1.456 
,,,R,304,43,48.69999999986703,267,30,7.70000000006803,16.906445,1.498,1.456 
,,2,L,124,43,48.60000000003424,92,29,45.89999999999236,16.90606,1.498,1.456 
,,,R,304,43,46.09999999981483,267,30,18.8000000000784,16.90616,1.498,1.456 
,,3,L,124,43,41.5999999999724,92,29,42.199999999988904,16.90596,1.498,1.456 
,,,R,304,43,44.19999999997344,267,30,16.200000000026193,16.90636,1.498,1.456 
,,4,L,124,43,35.19999999998163,92,29,41.20000000002392,16.90626,1.498,1.456 
,,,R,304,43,43.19999999990614,267,30,17.69999999992251,16.90616,1.498,1.456 
1,2,1,L,0,0,1.1000000000000008,93,9,34.90000000003647,23.208215,1.522,1.474 
,,,L,359,59,13.000000000110958,93,9,41.400000000013506,23.208115,1.522,1.474 
,,,R,179,59,23.599999999985357,266,50,22.299999999836473,23.208315,1.522,1.474 
,,,R,179,59,50.300000000002,266,50,12.199999999893407,23.208015,1.522,1.474 
,,2,L,359,57,13.89999999999418,93,9,34.500000000040245,23.208215,1.522,1.474 
,,,L,359,57,38.000000000060936,93,9,32.000000000025466,23.208115,1.522,1.474 
,,,R,179,57,31.999999999964075,266,50,22.59999999989759,23.208315,1.522,1.474 
,,,R,179,58,3.7000000000102773,266,50,28.099999999858483,23.208015,1.522,1.474 
