测站点,观测方向,观测类型,观测值,测站高,棱镜高,站点序号(平差),目标序号(平差) 
1,2,Vertical,1.6259569729904966,1.474,1.522,1,2
1,2,Sdist,23.208315,1.474,1.522,1,2
1,2,Vertical,1.6260059391722885,1.474,1.522,1,2
1,2,Sdist,23.208015,1.474,1.522,1,2
1,2,Vertical,1.625941458952701,1.474,1.522,1,2
1,2,Sdist,23.208215,1.474,1.522,1,2
1,2,Vertical,1.6259293386106732,1.474,1.522,1,2
1,2,Sdist,23.208115,1.474,1.522,1,2
1,2,Vertical,1.6259555185494534,1.474,1.522,1,2
1,2,Sdist,23.208315,1.474,1.522,1,2
1,2,Vertical,1.6259288537969923,1.474,1.522,1,2
1,2,Sdist,23.208015,1.474,1.522,1,2
1,2,Hz,6.282222467208904,1.474,1.522,1,2
1,2,Vertical,1.625933217120122,1.474,1.522,1,2
1,2,Sdist,23.208215,1.474,1.522,1,2
1,2,Hz,6.282457117030559,1.474,1.522,1,2
1,2,Vertical,1.6259443678347878,1.474,1.522,1,2
1,2,Sdist,23.208215,1.474,1.522,1,2
1,2,Hz,6.28244790557062,1.474,1.522,1,2
1,2,Vertical,1.62594970078528,1.474,1.522,1,2
1,2,Sdist,23.207715,1.474,1.522,1,2
1,2,Hz,6.282444511874851,1.474,1.522,1,2
1,2,Vertical,1.6259424285800632,1.474,1.522,1,2
1,2,Sdist,23.208115,1.474,1.522,1,2
1,2,Hz,6.282456147403198,1.474,1.522,1,2
1,2,Sdist,23.208615,1.474,1.522,1,2
1,2,Hz,6.282423664886563,1.474,1.522,1,2
1,2,Sdist,23.208415,1.474,1.522,1,2
1,2,Hz,6.282275796713824,1.474,1.522,1,2
1,2,Sdist,23.208115,1.474,1.522,1,2
1,2,Hz,6.282469722186268,1.474,1.522,1,2
1,2,Sdist,23.208235,1.474,1.522,1,2
1,3,Vertical,1.5942196149840226,1.474,1.595,1,3
1,3,Sdist,43.128456,1.474,1.595,1,3
1,3,Vertical,1.5942807015078424,1.474,1.595,1,3
1,3,Sdist,43.128556,1.474,1.595,1,3
1,3,Vertical,1.5942370682765425,1.474,1.595,1,3
1,3,Sdist,43.128456,1.474,1.595,1,3
1,3,Vertical,1.5942923370361894,1.474,1.595,1,3
1,3,Sdist,43.128156,1.474,1.595,1,3
1,3,Hz,0.7439829546886662,1.474,1.595,1,3
1,3,Vertical,1.594181314703215,1.474,1.595,1,3
1,3,Sdist,43.128756,1.474,1.595,1,3
1,3,Hz,0.7439911965212453,1.474,1.595,1,3
1,3,Vertical,1.5942496734322518,1.474,1.595,1,3
1,3,Sdist,43.128156,1.474,1.595,1,3
1,3,Hz,0.7440328904978205,1.474,1.595,1,3
1,3,Vertical,1.5941910109768371,1.474,1.595,1,3
1,3,Sdist,43.128556,1.474,1.595,1,3
1,3,Hz,0.7440527678587463,1.474,1.595,1,3
1,3,Vertical,1.5941847083989833,1.474,1.595,1,3
1,3,Sdist,43.128294,1.474,1.595,1,3
1,4,Vertical,1.6044365784997252,1.474,1.498,1,4
1,4,Sdist,28.280227,1.474,1.498,1,4
1,4,Vertical,1.6044113681883072,1.474,1.498,1,4
1,4,Sdist,28.280127,1.474,1.498,1,4
1,4,Vertical,1.6044482140280718,1.474,1.498,1,4
