        p1, 0.2865000069
         9,          3, 0.0000011075, 0.0000033225        
          ,         p2, 0.0000000000, 00000.1745384713, 00001.5726490079, 43.3788382779,    0.29050, 2024- 4-18- 9-19-57,          0,           ,          1,          1
          ,         p5, 0.0000000000, 00005.0687261137, 00001.5715289615, 63.8974563837,    0.28900, 2024- 4-18- 9-20- 5,          0,           ,          1,          1
          ,       p2-1, 0.0000000000, 00000.1745368900, 00001.5726474136, 43.3787382778,    0.29050, 2024- 4-18- 9-20-14,          0,           ,          1,          1
          ,       p2-1, 0.0000000000, 00003.3161338087, 00004.7105523306, 43.3789382780,    0.29050, 2024- 4-18- 9-20-24,          0,           ,          2,          1
          ,         p5, 0.0000000000, 00001.9271438129, 00004.7116796351, 63.8972563835,    0.28900, 2024- 4-18- 9-20-32,          0,           ,          2,          1
          ,         p2, 0.0000000000, 00003.3161337934, 00004.7105562595, 43.3789382780,    0.29050, 2024- 4-18- 9-20-41,          0,           ,          2,          1
          ,         p2, 0.0000000000, 00000.1745387277, 00001.5726492651, 43.3789382780,    0.29050, 2024- 4-18- 9-20-51,          0,           ,          1,          1
          ,         p5, 0.0000000000, 00005.0687396111, 00001.5715326120, 63.8973563836,    0.28900, 2024- 4-18- 9-20-59,          0,           ,          1,          1
          ,       p2-1, 0.0000000000, 00000.1745360185, 00001.5726476536, 43.3786382777,    0.29050, 2024- 4-18- 9-21- 8,          0,           ,          1,          1
          ,       p2-1, 0.0000000000, 00003.3161336605, 00004.7105480470, 43.3789382780,    0.29050, 2024- 4-18- 9-21-18,          0,           ,          2,          1
          ,         p5, 0.0000000000, 00001.9271597908, 00004.7116687216, 63.8972563835,    0.28900, 2024- 4-18- 9-21-26,          0,           ,          2,          1
          ,         p2, 0.0000000000, 00003.3161329146, 00004.7105567309, 43.3790382781,    0.29050, 2024- 4-18- 9-21-35,          0,           ,          2,          1
          ,         p2, 0.0000000000, 00000.1745345479, 00001.5726473668, 43.3789382780,    0.29050, 2024- 4-18- 9-21-45,          0,           ,          1,          1
          ,         p5, 0.0000000000, 00005.0687346732, 00001.5715380817, 63.8974563837,    0.28900, 2024- 4-18- 9-21-54,          0,           ,          1,          1
          ,       p2-1, 0.0000000000, 00000.1745360724, 00001.5726489541, 43.3789382780,    0.29050, 2024- 4-18- 9-22- 2,          0,           ,          1,          1
          ,       p2-1, 0.0000000000, 00003.3161315372, 00004.7105508212, 43.3789382780,    0.29050, 2024- 4-18- 9-22-12,          0,           ,          2,          1
          ,         p5, 0.0000000000, 00001.9271559454, 00004.7116686119, 63.8974563837,    0.28900, 2024- 4-18- 9-22-21,          0,           ,          2,          1
          ,         p2, 0.0000000000, 00003.3161324436, 00004.7105573790, 43.3789382780,    0.29050, 2024- 4-18- 9-22-30,          0,           ,          2,          1
        p2, 0.2885000110
         9,          4, 0.0000012415, 0.0000037246       
          ,         p1, 0.0000000000, 00000.1745376043, 00001.5689193413, 43.3789250206,    0.29000, 2024- 4-18- 9-40-31,          0,           ,          1,          3
          ,         p3, 0.0000000000, 00001.6445886414, 00001.5681844766, 51.7770492245,    0.28900, 2024- 4-18- 9-49-57,          0,           ,          1,          3
          ,         p4, 0.0000000000, 00001.8839380240, 00001.5716516481, 69.4518001642,    0.28900, 2024- 4-18- 9-51-22,          0,           ,          1,          3
          ,       p1-1, 0.0000000000, 00000.1745380999, 00001.5689279709, 43.3788250204,    0.29000, 2024- 4-18- 9-52-46,          0,           ,          1,          3
          ,       p1-1, 0.0000000000, 00003.3161363362, 00004.7142205257, 43.3788250204,    0.29000, 2024- 4-18- 9-52-60,          0,           ,          2,          3
          ,         p4, 0.0000000000, 00005.0255383156, 00004.7115055909, 69.4520001648,    0.29000, 2024- 4-18- 9-53- 8,          0,           ,          2,          3
          ,         p3, 0.0000000000, 00004.7861820530, 00004.7149758828, 51.7771492248,    0.29000, 2024- 4-18- 9-53-16,          0,           ,          2,          3
          ,         p1, 0.0000000000, 00003.3161447870, 00004.7142291730, 43.3788250204,    0.29000, 2024- 4-18- 9-53-25,          0,           ,          2,          3
          ,         p1, 0.0000000000, 00000.1745400748, 00001.5689223828, 43.3788250204,    0.29000, 2024- 4-18- 9-53-54,          0,           ,          1,          3
          ,         p3, 0.0000000000, 00001.6446014691, 00001.5681896059, 51.7772492251,    0.28900, 2024- 4-18- 9-54- 3,          0,           ,          1,          3
          ,         p4, 0.0000000000, 00001.8839334497, 00001.5716574854, 69.4520001648,    0.28900, 2024- 4-18- 9-54-10,          0,           ,          1,          3
          ,       p1-1, 0.0000000000, 00000.1745460905, 00001.5689215398, 43.3788250204,    0.29000, 2024- 4-18- 9-54-19,          0,           ,          1,          3
          ,       p1-1, 0.0000000000, 00003.3161218469, 00004.7142260483, 43.3788250204,    0.29000, 2024- 4-18- 9-54-30,          0,           ,          2,          3
          ,         p4, 0.0000000000, 00005.0255371089, 00004.7115076009, 69.4518001642,    0.28900, 2024- 4-18- 9-54-39,          0,           ,          2,          3
          ,         p3, 0.0000000000, 00004.7861877296, 00004.7149673403, 51.7772492251,    0.28900, 2024- 4-18- 9-54-46,          0,           ,          2,          3
          ,         p1, 0.0000000000, 00003.3161440309, 00004.7142322070, 43.3788250204,    0.29000, 2024- 4-18- 9-54-55,          0,           ,          2,          3
          ,         p1, 0.0000000000, 00000.1745382987, 00001.5689297279, 43.3788250204,    0.29000, 2024- 4-18- 9-55- 5,          0,           ,          1,          3
          ,         p3, 0.0000000000, 00001.6446047513, 00001.5682062943, 51.7773492254,    0.28900, 2024- 4-18- 9-55-14,          0,           ,          1,          3
          ,         p4, 0.0000000000, 00001.8839435840, 00001.5716666558, 69.4521001651,    0.28900, 2024- 4-18- 9-55-21,          0,           ,          1,          3
          ,       p1-1, 0.0000000000, 00000.1745420181, 00001.5689311239, 43.3788250204,    0.29000, 2024- 4-18- 9-55-30,          0,           ,          1,          3
          ,       p1-1, 0.0000000000, 00003.3161382315, 00004.7142368333, 43.3788250204,    0.29000, 2024- 4-18- 9-55-41,          0,           ,          2,          3
          ,         p4, 0.0000000000, 00005.0255330211, 00004.7115207075, 69.4518001642,    0.28900, 2024- 4-18- 9-55-50,          0,           ,          2,          3
          ,         p3, 0.0000000000, 00004.7861877268, 00004.7149837910, 51.7773492254,    0.28900, 2024- 4-18- 9-55-57,          0,           ,          2,          3
          ,         p1, 0.0000000000, 00003.3161376919, 00004.7142390217, 43.3790250209,    0.29000, 2024- 4-18- 9-56- 6,          0,           ,          2,          3
          ,         p1, 0.0000000000, 00000.1745500859, 00001.5689380690, 43.3789250206,    0.29000, 2024- 4-18- 9-56-16,          0,           ,          1,          3
          ,         p3, 0.0000000000, 00001.6445886945, 00001.5682009089, 51.7773492254,    0.28900, 2024- 4-18- 9-56-25,          0,           ,          1,          3
          ,         p4, 0.0000000000, 00001.8839449169, 00001.5716768597, 69.4519001645,    0.28900, 2024- 4-18- 9-56-33,          0,           ,          1,          3
          ,       p1-1, 0.0000000000, 00000.1745332369, 00001.5689336283, 43.3789250206,    0.29000, 2024- 4-18- 9-56-42,          0,           ,          1,          3
          ,       p1-1, 0.0000000000, 00003.3161355657, 00004.7142383140, 43.3789250206,    0.29000, 2024- 4-18- 9-56-52,          0,           ,          2,          3
          ,         p4, 0.0000000000, 00005.0255328203, 00004.7115128011, 69.4520001648,    0.28900, 2024- 4-18- 9-57- 1,          0,           ,          2,          3
          ,         p3, 0.0000000000, 00004.7861720833, 00004.7149797978, 51.7772492251,    0.28900, 2024- 4-18- 9-57- 8,          0,           ,          2,          3
          ,         p1, 0.0000000000, 00003.3161347417, 00004.7142415012, 43.3789250206,    0.29000, 2024- 4-18- 9-57-17,          0,           ,          2,          3
          ,         p1, 0.0000000000, 00000.1745449229, 00001.5689333178, 43.3790250209,    0.29000, 2024- 4-18- 9-57-28,          0,           ,          1,          3
          ,         p3, 0.0000000000, 00001.6445930611, 00001.5682021966, 51.7773492254,    0.28900, 2024- 4-18- 9-57-37,          0,           ,          1,          3
          ,         p4, 0.0000000000, 00001.8839425077, 00001.5716705522, 69.4517001639,    0.28900, 2024- 4-18- 9-57-44,          0,           ,          1,          3
          ,       p1-1, 0.0000000000, 00000.1745427602, 00001.5689267916, 43.3788250204,    0.29000, 2024- 4-18- 9-57-53,          0,           ,          1,          3
          ,       p1-1, 0.0000000000, 00003.3161338622, 00004.7142419573, 43.3789250206,    0.29000, 2024- 4-18- 9-58- 3,          0,           ,          2,          3
          ,         p4, 0.0000000000, 00005.0255378289, 00004.7115220489, 69.4519001645,    0.28900, 2024- 4-18- 9-58-12,          0,           ,          2,          3
          ,         p3, 0.0000000000, 00004.7861732847, 00004.7149902766, 51.7772492251,    0.28900, 2024- 4-18- 9-58-20,          0,           ,          2,          3
          ,         p1, 0.0000000000, 00003.3161293078, 00004.7142423960, 43.3788250204,    0.29000, 2024- 4-18- 9-58-28,          0,           ,          2,          3
          ,         p1, 0.0000000000, 00000.1745426943, 00001.5689533825, 43.3791250212,    0.29000, 2024- 4-18- 9-58-38,          0,           ,          1,          3
          ,         p3, 0.0000000000, 00001.6445849271, 00001.5681974379, 51.7773492254,    0.28900, 2024- 4-18- 9-58-47,          0,           ,          1,          3
          ,         p4, 0.0000000000, 00001.8839380206, 00001.5716702466, 69.4519001645,    0.28900, 2024- 4-18- 9-58-54,          0,           ,          1,          3
          ,       p1-1, 0.0000000000, 00000.1745365278, 00001.5689421658, 43.3788250204,    0.29000, 2024- 4-18- 9-59- 3,          0,           ,          1,          3
