测站点,观测方向,观测类型,观测值,测站高,棱镜高,站点序号(平差),目标序号(平差) 
p1,p5,Sdist,63.89725638,0.286500007,0.289,0,4
p1,p5,Hz,5.068734673,0.286500007,0.289,0,4
p1,p5,Vertical,1.571538082,0.286500007,0.289,0,4
p1,p5,Sdist,63.89745638,0.286500007,0.289,0,4
p1,p5,Hz,5.068748599,0.286500007,0.289,0,4
p1,p5,Vertical,1.571516695,0.286500007,0.289,0,4
p1,p5,Sdist,63.89745638,0.286500007,0.289,0,4
p1,p2,Hz,0.174541564,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572640383,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37893828,0.286500007,0.2905,0,1
p1,p2,Hz,0.174536334,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572637814,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37883828,0.286500007,0.2905,0,1
p1,p2,Hz,0.174542804,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572643415,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37903828,0.286500007,0.2905,0,1
p1,p2,Hz,0.174531039,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572633195,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37883828,0.286500007,0.2905,0,1
p1,p2,Hz,0.174541532,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572640649,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37873828,0.286500007,0.2905,0,1
p1,p2,Hz,0.17453569,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572639385,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37883828,0.286500007,0.2905,0,1
p1,p2,Hz,0.174538576,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572640167,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37883828,0.286500007,0.2905,0,1
p1,p2,Hz,0.174534401,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572637918,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37883828,0.286500007,0.2905,0,1
p1,p2,Hz,0.174535725,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572643583,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37893828,0.286500007,0.2905,0,1
p1,p2,Hz,0.174537642,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572639014,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37893828,0.286500007,0.2905,0,1
p1,p2,Hz,0.174530297,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572653923,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37893828,0.286500007,0.2905,0,1
p1,p2,Hz,0.174542068,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572631234,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37883828,0.286500007,0.2905,0,1
p1,p2,Hz,0.17453689,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572647414,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37873828,0.286500007,0.2905,0,1
p1,p2,Hz,0.174541155,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572632977,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37893828,0.286500007,0.2905,0,1
p1,p2,Hz,0.174536019,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572647654,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37863828,0.286500007,0.2905,0,1
p1,p2,Hz,0.174541007,0.286500007,0.2905,0,1
p1,p2,Vertical,1.57263726,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37893828,0.286500007,0.2905,0,1
p1,p2,Hz,0.174536072,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572648954,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37893828,0.286500007,0.2905,0,1
p1,p2,Hz,0.174538884,0.286500007,0.2905,0,1
p1,p2,Vertical,1.572634486,0.286500007,0.2905,0,1
p1,p2,Sdist,43.37893828,0.286500007,0.2905,0,1
p2,p1,Hz,0.174537604,0.288500011,0.29,1,0
p2,p1,Vertical,1.568919341,0.288500011,0.29,1,0
p2,p1,Sdist,43.37892502,0.288500011,0.29,1,0
p2,p1,Hz,0.174552133,0.288500011,0.29,1,0
p2,p1,Vertical,1.568956134,0.288500011,0.29,1,0
p2,p1,Sdist,43.37882502,0.288500011,0.29,1,0
p2,p1,Hz,0.174540075,0.288500011,0.29,1,0
p2,p1,Vertical,1.568922383,0.288500011,0.29,1,0
p2,p1,Sdist,43.37882502,0.288500011,0.29,1,0
p2,p1,Hz,0.174551377,0.288500011,0.29,1,0
p2,p1,Vertical,1.5689531,0.288500011,0.29,1,0
p2,p1,Sdist,43.37882502,0.288500011,0.29,1,0
p2,p1,Hz,0.174538299,0.288500011,0.29,1,0
p2,p1,Vertical,1.568929728,0.288500011,0.29,1,0
p2,p1,Sdist,43.37882502,0.288500011,0.29,1,0
p2,p1,Hz,0.174545038,0.288500011,0.29,1,0
p2,p1,Vertical,1.568946285,0.288500011,0.29,1,0
p2,p1,Sdist,43.37902502,0.288500011,0.29,1,0
p2,p1,Hz,0.174550086,0.288500011,0.29,1,0
p2,p1,Vertical,1.568938069,0.288500011,0.29,1,0
p2,p1,Sdist,43.37892502,0.288500011,0.29,1,0
p2,p1,Hz,0.174542088,0.288500011,0.29,1,0
p2,p1,Vertical,1.568943806,0.288500011,0.29,1,0
p2,p1,Sdist,43.37892502,0.288500011,0.29,1,0
p2,p1,Hz,0.174544923,0.288500011,0.29,1,0
p2,p1,Vertical,1.568933318,0.288500011,0.29,1,0
p2,p1,Sdist,43.37902502,0.288500011,0.29,1,0
p2,p1,Hz,0.174536654,0.288500011,0.29,1,0
p2,p1,Vertical,1.568942911,0.288500011,0.29,1,0
p2,p1,Sdist,43.37882502,0.288500011,0.29,1,0
p2,p1,Hz,0.174542694,0.288500011,0.29,1,0
p2,p1,Vertical,1.568953383,0.288500011,0.29,1,0
p2,p1,Sdist,43.37912502,0.288500011,0.29,1,0
p2,p1,Hz,0.174539703,0.288500011,0.29,1,0
p2,p1,Vertical,1.568936557,0.288500011,0.29,1,0
p2,p1,Sdist,43.37892502,0.288500011,0.29,1,0
p2,p1,Hz,0.174545242,0.288500011,0.29,1,0
p2,p1,Vertical,1.568945039,0.288500011,0.29,1,0
p2,p1,Sdist,43.37882502,0.288500011,0.29,1,0
p2,p1,Hz,0.174544461,0.288500011,0.29,1,0
p2,p1,Vertical,1.56893636,0.288500011,0.29,1,0
p2,p1,Sdist,43.37882502,0.288500011,0.29,1,0
p2,p1,Hz,0.174536797,0.288500011,0.29,1,0
p2,p1,Vertical,1.568942056,0.288500011,0.29,1,0
p2,p1,Sdist,43.37882502,0.288500011,0.29,1,0
p2,p1,Hz,0.174544961,0.288500011,0.29,1,0
p2,p1,Vertical,1.568940509,0.288500011,0.29,1,0
p2,p1,Sdist,43.37892502,0.288500011,0.29,1,0
p2,p1,Hz,0.174548288,0.288500011,0.29,1,0
p2,p1,Vertical,1.568945082,0.288500011,0.29,1,0
p2,p1,Sdist,43.37882502,0.288500011,0.29,1,0
p2,p1,Hz,0.174540448,0.288500011,0.29,1,0
p2,p1,Vertical,1.568948524,0.288500011,0.29,1,0
p2,p1,Sdist,43.37862502,0.288500011,0.29,1,0
p2,p3,Hz,1.644588641,0.288500011,0.289,1,2
p2,p3,Vertical,1.568184477,0.288500011,0.289,1,2
p2,p3,Sdist,51.77704922,0.288500011,0.289,1,2
p2,p3,Hz,1.644589399,0.288500011,0.29,1,2
p2,p3,Vertical,1.568209424,0.288500011,0.29,1,2
p2,p3,Sdist,51.77714922,0.288500011,0.29,1,2
p2,p3,Hz,1.644601469,0.288500011,0.289,1,2
p2,p3,Vertical,1.568189606,0.288500011,0.289,1,2
p2,p3,Sdist,51.77724923,0.288500011,0.289,1,2
p2,p3,Hz,1.644595076,0.288500011,0.289,1,2
