测站点,观测方向,观测类型,观测值,测站高,棱镜高,站点序号(平差),目标序号(平差) 
p1,p5,Hz,5.068736466489793,0.2865000069,0.289,0,4
p1,p5,Vertical,1.5715056720795861,0.2865000069,0.289,0,4
p1,p5,Sdist,63.8972563835,0.2865000069,0.289,0,4
p1,p5,Hz,5.0687396111,0.2865000069,0.289,0,4
p1,p5,Vertical,1.5715326120000004,0.2865000069,0.289,0,4
p1,p5,Sdist,63.8973563836,0.2865000069,0.289,0,4
p1,p5,Hz,5.068752444389793,0.2865000069,0.289,0,4
p1,p5,Vertical,1.5715165855795865,0.2865000069,0.289,0,4
p1,p5,Sdist,63.8972563835,0.2865000069,0.289,0,4
p1,p5,Hz,5.0687346732,0.2865000069,0.289,0,4
p1,p5,Vertical,1.5715380817,0.2865000069,0.289,0,4
p1,p5,Sdist,63.8974563837,0.2865000069,0.289,0,4
p1,p5,Hz,5.068748598989793,0.2865000069,0.289,0,4
p1,p5,Vertical,1.5715166952795858,0.2865000069,0.289,0,4
p1,p5,Sdist,63.8974563837,0.2865000069,0.289,0,4
p1,p2-1,Hz,0.1745415635,0.2865000069,0.2905,0,
p1,p2-1,Vertical,1.5726403828,0.2865000069,0.2905,0,
p1,p2-1,Sdist,43.378938278,0.2865000069,0.2905,0,
p1,p2-1,Hz,0.17453633401020685,0.2865000069,0.2905,0,
p1,p2-1,Vertical,1.5726378140795862,0.2865000069,0.2905,0,
p1,p2-1,Sdist,43.3788382779,0.2865000069,0.2905,0,
p1,p2-1,Hz,0.1745428044,0.2865000069,0.2905,0,
p1,p2-1,Vertical,1.5726434145,0.2865000069,0.2905,0,
p1,p2-1,Sdist,43.3790382781,0.2865000069,0.2905,0,
p1,p2-1,Hz,0.17453103851020701,0.2865000069,0.2905,0,
p1,p2-1,Vertical,1.572633194579586,0.2865000069,0.2905,0,
p1,p2-1,Sdist,43.3788382779,0.2865000069,0.2905,0,
p1,p2-1,Hz,0.17454153150000007,0.2865000069,0.2905,0,
p1,p2-1,Vertical,1.5726406489,0.2865000069,0.2905,0,
p1,p2-1,Sdist,43.3787382778,0.2865000069,0.2905,0,
p1,p2-1,Hz,0.1745356904102069,0.2865000069,0.2905,0,
p1,p2-1,Vertical,1.5726393852795866,0.2865000069,0.2905,0,
p1,p2-1,Sdist,43.3788382779,0.2865000069,0.2905,0,
p1,p2-1,Hz,0.1745385757,0.2865000069,0.2905,0,
p1,p2-1,Vertical,1.5726401674,0.2865000069,0.2905,0,
p1,p2-1,Sdist,43.3788382779,0.2865000069,0.2905,0,
p1,p2-1,Hz,0.17453440141020682,0.2865000069,0.2905,0,
p1,p2-1,Vertical,1.572637917979586,0.2865000069,0.2905,0,
p1,p2-1,Sdist,43.3788382779,0.2865000069,0.2905,0,
p1,p2-1,Hz,0.1745357254,0.2865000069,0.2905,0,
p1,p2-1,Vertical,1.5726435832,0.2865000069,0.2905,0,
p1,p2-1,Sdist,43.378938278,0.2865000069,0.2905,0,
p1,p2-1,Hz,0.17453764161020668,0.2865000069,0.2905,0,
p1,p2-1,Vertical,1.572639013679586,0.2865000069,0.2905,0,
p1,p2-1,Sdist,43.378938278,0.2865000069,0.2905,0,
p1,p2-1,Hz,0.1745302973,0.2865000069,0.2905,0,
p1,p2-1,Vertical,1.5726539233000003,0.2865000069,0.2905,0,
p1,p2-1,Sdist,43.378938278,0.2865000069,0.2905,0,
p1,p2-1,Hz,0.17454206841020703,0.2865000069,0.2905,0,
p1,p2-1,Vertical,1.5726312336795867,0.2865000069,0.2905,0,
p1,p2-1,Sdist,43.3788382779,0.2865000069,0.2905,0,
p1,p2-1,Hz,0.17453689,0.2865000069,0.2905,0,
p1,p2-1,Vertical,1.5726474136,0.2865000069,0.2905,0,
p1,p2-1,Sdist,43.3787382778,0.2865000069,0.2905,0,
p1,p2-1,Hz,0.17454115511020696,0.2865000069,0.2905,0,
p1,p2-1,Vertical,1.572632976579587,0.2865000069,0.2905,0,
p1,p2-1,Sdist,43.378938278,0.2865000069,0.2905,0,
p1,p2-1,Hz,0.1745360185,0.2865000069,0.2905,0,
p1,p2-1,Vertical,1.5726476536,0.2865000069,0.2905,0,
p1,p2-1,Sdist,43.3786382777,0.2865000069,0.2905,0,
p1,p2-1,Hz,0.1745410069102067,0.2865000069,0.2905,0,
p1,p2-1,Vertical,1.5726372601795868,0.2865000069,0.2905,0,
p1,p2-1,Sdist,43.378938278,0.2865000069,0.2905,0,
p1,p2-1,Hz,0.1745360724,0.2865000069,0.2905,0,
p1,p2-1,Vertical,1.5726489541,0.2865000069,0.2905,0,
p1,p2-1,Sdist,43.378938278,0.2865000069,0.2905,0,
p1,p2-1,Hz,0.17453888361020686,0.2865000069,0.2905,0,
p1,p2-1,Vertical,1.5726344859795862,0.2865000069,0.2905,0,
p1,p2-1,Sdist,43.378938278,0.2865000069,0.2905,0,
p2,p1,Hz,0.17453760430000004,0.288500011,0.29,1,0
p2,p1,Vertical,1.5689193413,0.288500011,0.29,1,0
p2,p1,Sdist,43.3789250206,0.288500011,0.29,1,0
p2,p1,Hz,0.1745521334102067,0.288500011,0.29,1,0
p2,p1,Vertical,1.5689561341795866,0.288500011,0.29,1,0
p2,p1,Sdist,43.3788250204,0.288500011,0.29,1,0
p2,p1,Hz,0.17454007480000003,0.288500011,0.29,1,0
p2,p1,Vertical,1.5689223828,0.288500011,0.29,1,0
p2,p1,Sdist,43.3788250204,0.288500011,0.29,1,0
p2,p1,Hz,0.17455137731020676,0.288500011,0.29,1,0
p2,p1,Vertical,1.568953100179586,0.288500011,0.29,1,0
p2,p1,Sdist,43.3788250204,0.288500011,0.29,1,0
p2,p1,Hz,0.1745382987,0.288500011,0.29,1,0
p2,p1,Vertical,1.5689297279,0.288500011,0.29,1,0
p2,p1,Sdist,43.3788250204,0.288500011,0.29,1,0
p2,p1,Hz,0.17454503831020673,0.288500011,0.29,1,0
p2,p1,Vertical,1.5689462854795861,0.288500011,0.29,1,0
p2,p1,Sdist,43.3790250209,0.288500011,0.29,1,0
p2,p1,Hz,0.1745500859,0.288500011,0.29,1,0
p2,p1,Vertical,1.568938069,0.288500011,0.29,1,0
p2,p1,Sdist,43.3789250206,0.288500011,0.29,1,0
p2,p1,Hz,0.17454208811020688,0.288500011,0.29,1,0
p2,p1,Vertical,1.5689438059795862,0.288500011,0.29,1,0
p2,p1,Sdist,43.3789250206,0.288500011,0.29,1,0
p2,p1,Hz,0.1745449229,0.288500011,0.29,1,0
p2,p1,Vertical,1.5689333178,0.288500011,0.29,1,0
p2,p1,Sdist,43.3790250209,0.288500011,0.29,1,0
p2,p1,Hz,0.1745366542102067,0.288500011,0.29,1,0
p2,p1,Vertical,1.5689429111795858,0.288500011,0.29,1,0
p2,p1,Sdist,43.3788250204,0.288500011,0.29,1,0
p2,p1,Hz,0.1745426943,0.288500011,0.29,1,0
p2,p1,Vertical,1.5689533825,0.288500011,0.29,1,0
p2,p1,Sdist,43.3791250212,0.288500011,0.29,1,0
p2,p1,Hz,0.17453970321020673,0.288500011,0.29,1,0
p2,p1,Vertical,1.568936557179586,0.288500011,0.29,1,0
p2,p1,Sdist,43.3789250206,0.288500011,0.29,1,0
p2,p1,Hz,0.1745452422,0.288500011,0.29,1,0
p2,p1,Vertical,1.5689450385,0.288500011,0.29,1,0
p2,p1,Sdist,43.3788250204,0.288500011,0.29,1,0
p2,p1,Hz,0.17454446081020691,0.288500011,0.29,1,0
p2,p1,Vertical,1.5689363597795865,0.288500011,0.29,1,0
p2,p1,Sdist,43.3788250204,0.288500011,0.29,1,0
p2,p1,Hz,0.17453679720000004,0.288500011,0.29,1,0
p2,p1,Vertical,1.5689420563,0.288500011,0.29,1,0
p2,p1,Sdist,43.3788250204,0.288500011,0.29,1,0
