测站点,观测方向,左盘方位角,竖直角,距离,测站高,棱镜高, 
p1,p2,0.17453791467732568,1.5726388234897932,43.378893833511114,0.2865000069,0.2905,,10,0,1.0291536908184185
p1,p5,5.06873604162823,1.5715245553286818,63.89738416141111,0.2865000069,0.289,,290,25,1.8575441210714416
p1,p2-1,0.17453764992732565,1.5726405235231264,43.37887161126667,0.2865000069,0.2905,,10,0,0.9745450833584357
p2,p1,0.1745433818217701,1.5689406991564596,43.378880576077776,0.288500011,0.29,,10,0,2.156833180369233
p2,p3,1.6445930864662148,1.56819960800646,51.777277002961114,0.288500011,0.289,,94,13,41.67433526799982
p2,p4,1.8839427718162147,1.571668412767571,69.45185571992222,0.288500011,0.289,,107,56,31.090809289204344
p2,p1-1,0.1745425716828812,1.5689400764453487,43.378836131516664,0.288500011,0.29,,10,0,1.9897300394191575
p3,p2,0.17457432479954785,1.5733675207731264,51.77732187412222,0.2865000069,0.287,,10,0,8.539280496407287
p3,p4,4.125460892706007,1.5793517864842377,22.746613208855553,0.2865000069,0.2865,,236,22,17.39171397772907
p3,p5,2.2485133106939923,1.5742507661009042,28.930691451949997,0.2865000069,0.2865,,128,49,49.162374313480086
p3,p2-1,0.1745732884273257,1.573365603978682,51.77733854088889,0.2865000069,0.287,,10,0,8.325513380801652
p4,p3,0.17452533697177008,1.5622833653342376,22.746475045755556,0.2870000005,0.286,,9,59,58.43481569136259
p4,p5,0.894296074760659,1.5685457238064597,41.84544670652778,0.2870000005,0.2865,,51,14,21.806588046130173
p4,p2,5.8877246670782295,1.569917169378682,69.45238736091112,0.2870000005,0.287,,337,20,30.3876911408679
p4,p3-1,0.17452506414399227,1.562286132417571,22.746497268094444,0.2870000005,0.286,,9,59,58.37854092263285
p5,p4,0.1745365053828812,1.5730175303953486,41.84455814686111,0.28549999,0.288,,10,0,0.7384658452863846
p5,p1,2.0695711248995483,1.5700606624786821,63.897362888699995,0.28549999,0.29,,118,34,39.68709199057571
p5,p3,0.7193898642939923,1.5673402577286821,28.930509272705553,0.28549999,0.286,,41,13,4.810974725269261
p5,p4-1,0.17453990589399235,1.5730189009175708,41.84463036947223,0.28549999,0.288,,10,0,1.4398716107614007
